# Wavelength Transmittance 
# Filter Q 
# lambda eff:20.9mu
# (um)               (%) 
1.5024040E+00        2.9599998E-05
9.4369997E-04        3.0627871E+00
1.5026300E+00        1.3399999E-05
6.8709999E-04        3.0637250E+00
1.5028549E+00        5.2000000E-06
7.1829994E-04        3.0646639E+00
1.5030810E+00        8.2999995E-06
1.2188000E-03        3.0656040E+00
1.5033070E+00        1.8100000E-05
1.9900999E-03        3.0665441E+00
1.5035330E+00        2.9299999E-05
2.6438001E-03        3.0674851E+00
1.5037590E+00        4.0999999E-05
2.8543000E-03        3.0684259E+00
1.5039860E+00        5.3899999E-05
2.4806999E-03        3.0693679E+00
1.5042120E+00        7.0599999E-05
1.5700000E-03        3.0703101E+00
1.5044380E+00        9.0800000E-05
3.7289999E-04        3.0712531E+00
1.5046639E+00        1.1060000E-04
-6.8740000E-04       3.0721970E+00
1.5048910E+00        1.2109999E-04
-1.1496999E-03       3.0731411E+00
1.5051171E+00        1.1490000E-04
-7.5650000E-04       3.0740850E+00
1.5053440E+00        9.1299997E-05
3.4740000E-04        3.0750310E+00
1.5055710E+00        6.0800001E-05
1.6527000E-03        3.0759771E+00
1.5057970E+00        3.6899997E-05
2.5436999E-03        3.0769229E+00
1.5060240E+00        2.5699999E-05
2.6693002E-03        3.0778699E+00
1.5062510E+00        2.0699999E-05
2.1420000E-03        3.0788181E+00
1.5064780E+00        1.3600000E-05
1.4617001E-03        3.0797660E+00
1.5067050E+00        4.4999997E-06
1.1531999E-03        3.0807149E+00
1.5069320E+00        -6.9999999E-07
1.3502000E-03        3.0816641E+00
1.5071590E+00        1.7000000E-06
1.6903999E-03        3.0826139E+00
1.5073860E+00        6.0000002E-06
1.6482000E-03        3.0835650E+00
1.5076129E+00        2.6000000E-06
1.0986000E-03        3.0845160E+00
1.5078410E+00        -7.6000001E-06
5.6079996E-04        3.0854671E+00
1.5080680E+00        -1.5000000E-05
7.9249998E-04        3.0864201E+00
1.5082960E+00        -1.0700000E-05
2.0377999E-03        3.0873730E+00
1.5085230E+00        4.4999997E-06
3.6696999E-03        3.0883260E+00
1.5087510E+00        2.3799999E-05
4.6265000E-03        3.0892799E+00
1.5089780E+00        4.2699998E-05
4.2526997E-03        3.0902350E+00
1.5092061E+00        5.9799997E-05
2.7621000E-03        3.0911901E+00
1.5094340E+00        7.5299999E-05
